,,,REPUBLIC OF THE PHILIPPINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,117657,Dumolog Elementary School,No,Yes,yes,Yes,No,Yes,yes,Yes,No,Yes,No,No,No,Some Pupils do not take it seriously,Yes,Yes,None ,4,19,23,3,19,22,238,182,420,0,0,0,0,0,0,0,0,0,420,236,179,415,0,0,0,0,0,0,0,0,0,415,None,No,None,Some pupils do not take the drill seriously,https://drive.google.com/drive/folders/1bMCMNOIJ7cbZly1F8CIF-YOz4NxbuxCw?usp=sharing
4,117663,Punta Cogon Elementary School,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,None,Yes,Yes,None ,2,8,10,2,8,10,58,49,107,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,107,,Yes,,,
5,117661,PMRMS - North,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,,Yes,Yes,None ,2,2,4,2,36,38,427,435,862,,,0,,,0,,,0,862,,,0,,,0,,,0,,,0,855,,No,None,Scattered rain fall,https://drive.google.com/drive/folders/1ADzWY-iiye_ZkFS8o4S6TcUaTYAmroMM?usp=drive_link
6,501335,PMRMIS - South,Yes ,Yes ,Yes ,Yes ,Yes,Yes,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes,None,Yes ,Yes ,None,21,66,87,19,65,84,1154,1193,2347,0,0,0,5,0,5,0,0,0,2352,877,924,1801,0,0,0,2,0,2,0,0,0,1803,none,Yes ,Successfully conducted the drill without untoward incident.,The learners were not able to go out from the classroom as soon as the siren stopped due to a drizzel during the first 4 minutes of the drill.,https://drive.google.com/drive/folders/1mfXH9uGR5qBIe6N93IYLheZ1LBgtAjbP
7,501358,PMRMIS - SPED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,yes ,,Yes ,Yes ,,8,34,42,8,34,42,143,203,346,0,0,0,1,1,2,103,58,161,509,85,146,231,0,0,0,1,1,2,57,24,81,312,,Yes,,"The drill was conducted inside the classrooms, hallways and shaded parts of the building since the rain poured during the conduct.",
8,501336,Cogon Integrated School,Yes,Yes,yes,Yes,No,Yes,yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,Yes,,2,13,15,2,13,15,155,139,294,0,0,0,0,0,0,0,0,0,294,155,139,294,0,0,0,0,0,0,0,0,0,290,,Yes,,,
9,500194,Inzo Arnaldo Village Integrated School,Yes,Yes,yes,Yes,No,Yes,yes,Yes,No,Yes,No,No,Yes,AM Shift only - with NO EVACUATION due to rain,Yes,No,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,
10,501116,Olotayan IS,No,Yes,Yes,Yes,No,Yes,yes,Yes,Yes,Yes,No,No,Yes,None,Yes,Yes,None ,2,16,18,1,17,18,0,0,0,0,0,0,0,0,0,0,0,0,242,,,0,0,0,0,0,0,0,0,0,0,240,None,Yes,None,This drill was conducted in school covered gym due to open space unavailability ,
11,117666,Banica Elementary School,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,7,37,44,7,37,44,552,532,1084,0,0,0,,,0,,,0,1084,479,510,989,,,0,,,0,,,0,989,,Yes,None,This drill was conducted a bit late due to sudden downpour of rain.,
12,117670,Mongpong Elementary School,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,3,16,19,3,16,19,153,130,283,0,0,0,0,0,0,0,0,0,283,153,130,283,0,0,0,0,0,0,0,0,0,283,NONE,Yes,NONE,The drill was conducted inside the classrooms together with their teaching staff.,https://drive.google.com/drive/folders/11SR9E01vskeb_oFnf3-dZ5ySOyj3vo1Q?usp=sharing
13,117671,Paciano Bombaes Memorial School,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,None,Yes,Yes,None,4,10,14,2,9,11,111,79,190,0,0,0,0,0,0,0,0,0,190,111,79,190,0,0,0,0,0,0,0,0,0,111,,Yes,None,"The drill was conducted inside the classrooms, hallways and shaded parts of the building since the rain poured during the conduct.",
14,117672,Plaridel East,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,None,Yes,Yes,None,3,27,30,3,27,30,277,262,539,0,0,0,4,1,5,0,0,0,544,257,259,516,0,0,0,4,1,5,0,0,0,521,,Yes,None,Wet and slippery school grounds due to the earlier rainfall,https://depedph-my.sharepoint.com/:f:/g/personal/larylynne_batuigas_deped_gov_ph/Es2H9LGq5vBDm5Wt3rClD0UB8gzIplt68xrjbs50AKD9ag?e=DZhHb0
15,117673,Plaridel West,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,.,3,25,28,3,23,26,228,218,446,0,0,0,2,3,5,,,0,451,198,200,398,,,0,2,3,5,,,0,403,,Yes,None,,
16,117675,Tanza Elementary School,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,none,yes,yes,None ,3,7,10,3,7,10,136,124,260,0,0,0,0,0,0,0,0,0,260,136,124,260,0,0,0,0,0,0,0,0,0,260,None,yes,none,It rained before the conduct of the NSED and the grounds are wet and slippery,2nd Quarter
17,101757,Bato Elementary School,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,NONE,YES,NO,NONE,,11,11,,9,9,80,61,141,,,0,,,0,,,0,,73,55,128,,,0,,,0,,,0,,,NONE,,The drill was conducted inside the classroom due to on going construction of two classrooms nearby the building of the classrooms.,https://drive.google.com/drive/folders/1HweHRG9NDivdzuiu0bxx-xjQWVDiRMBB?usp=drive_link
18,117665,Balijuagan Elementary School,YES,YES,YES,YES,YES,YES,YES,Yes,NO,YES,YES,NO,YES,"The recent earthquake drill conducted at our school was a vital exercise in promoting safety awareness and preparedness among students, faculty, and staff. Overall, the drill was successfully carried out, with active participation from students, parents, teaching, and non-teaching personnel.",Yes,YES,The school conducted the pre-orientation to parents and learners prior to the conduct of NSED.,1,13,14,1,13,14,128,136,264,0,0,0,0,0,,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,264,Learners are active participants and teachers are 100% supportive to the NSED. ,no,,"1. Some classes took longer to react and evacuate, reducing the overall efficiency of the drill; 2. Some failed to maintain silence and order during the evacuation and assembly; 3 Weather conditions affected the comfort and focus of participants at the assembly area; 4. Students were distracted or hesitant to follow instructions immediately.",https://drive.google.com/drive/folders/1qiGY7_yy3ZvN7H7OFqr4cgMpvvMDM3hq?usp=drive_link
19,117674,Talon Elementaryt School,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,No,YES,,YES,YES,,8,4,12,8,4,12,71,71,142,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,
20,117668,Don Francisco Dinglasan Memorial School,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,,YES,YES,,6,24,30,6,24,30,343,330,673,,,0,,,0,,,0,673,302,292,594,,,0,,,0,,,0,594,,YES,,,DFDMS
21,117669,Don Manuel Arnaldo Memorial School,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NONE,YES,YES,None ,3,20,23,0,1,1,365,299,664,0,0,0,0,0,0,0,0,0,664,365,299,664,0,0,0,0,0,0,0,0,0,664,NONE,YES,NONE,"Kinder Garten pupils felt afraid of the alarm sound, no available emergency & rescue aeuipment. Confusion among learners about the correct response procedures of NSED",
22,500195,Sofronio A. Cordovero Integrated School,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NONE,YES,YES,NONE,6,28,34,2,3,5,432,358,790,0,0,0,0,0,0,0,0,0,790,377,331,708,0,0,0,0,0,0,0,0,0,708,NONE,YES,,NONE,https://depedph-my.sharepoint.com/personal/larylynne_batuigas_deped_gov_ph/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Flarylynne%5Fbatuigas%5Fdeped%5Fgov%5Fph%2FDocuments%2FSDO%20Roxas%2FDRRM%2FEarthquake%20Drill%202025%2F2nd%20Quarter%20%2D%20NSED%2F500195%5FSACIS%5F2ND%20QUARTER%202025%20EARTHQUAKE%20DRILL&ga=1
23,501075,Adlawan Integrated School,YES,YES,YES ,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NONE,YES,YES,NONE,8,14,22,8,14,22,206,175,381,0,0,0,0,0,0,1,0,1,381,200,164,364,0,0,0,0,0,0,1,0,1,364,NONE,YES,NONE,NONE,https://depedph-my.sharepoint.com/:f:/g/personal/larylynne_batuigas_deped_gov_ph/EtCg9fq1slpArf2xrlXlUyYBJt9jnMKDaH_nAnv6kBVb7g?e=RlPSpx
24,501357,Don Juan Celino Integrated School,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,
25,501340,Don Jose Acevedo Integrated School,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NONE,YES,YES,NONE,4,16,20,4,16,20,140,132,272,0,0,0,0,0,0,0,0,0,272,148,139,287,0,0,0,0,0,0,0,0,0,287,NONE,YES,,,
26,501356,Loctugan Integrated School,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,,YES,YES,,9,23,32,9,23,32,291,237,528,0,0,0,0,0,0,0,0,0,515,285,230,515,0,0,0,0,0,0,0,0,0,515,,NO,,Limited space for evacuation area due to surrounding trees.,
27,117677,Anatolia Arcenas Memorial School,Yes,Yes ,Yes ,Yes,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,None,Yes ,Yes ,None,2,2,4,1,8,9,102,98,200,,,0,,,0,,,0,200,92,92,184,,,0,,,0,,,0,184,,,,,
28,117678,Antonio Villasis Memorial School,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,None,Yes,Yes,Yes,0,15,15,0,14,14,182,172,354,0,0,0,0,0,0,0,0,0,354,173,163,336,0,0,0,0,0,0,0,0,0,336,NONE,YES,NONE,NONE,
29,117680,Don Gervacio Diaz Memorial School,Yes,Yes,Yes,Yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,1,10,11,1,10,11,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,158,,yes,,,https://depedph-my.sharepoint.com/:f:/g/personal/larylynne_batuigas_deped_gov_ph/EvA6Ult1CAdIk_up4cnN_8EB5W9iCiQ8tqEtfd-51a3o0Q?e=rbpU4L
30,117682,Doña Emiliana Alba Memorial School,Yes,Yes ,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Early warning device/bell have electrical faults,Yes,Yes,None,3,8,11,3,8,11,101,89,190,0,0,0,0,0,0,0,0,0,190,0,1,1,0,0,0,0,0,0,0,1,1,190,none,YES,none,Early warning not functioning due to electrical faults,https://depedph-my.sharepoint.com/:f:/g/personal/markrolyn_belencion_deped_gov_ph/EvttBKf0Pf5CqmD4OS9pu84BQJ-cuIxnqV40cb2ANEqd9A?e=d2YQkC=%2Fpersonal%2Fmarkrolyn%5Fbelencion%5Fdeped%5Fgov%5Fph%2FDocuments%2F2ND%20QUARTER%20NSED%20SY%202025%2D2026
31,117683,Doña Vicenta P. Hontiveros MS,Yes,Yes ,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,noe,Yes,Yes,None,3,14,17,2,14,16,193,165,358,0,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,358,none,yes,none,None,
32,117689,Venancio Alba Elementary School,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,None,Yes,Yes,None,1,23,24,1,22,23,245,213,458,0,0,0,0,0,0,34,26,60,518,245,213,458,0,0,0,0,0,0,5,9,14,472,None,Yes ,None,None,https://depedph-my.sharepoint.com/personal/larylynne_batuigas_deped_gov_ph/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Flarylynne%5Fbatuigas%5Fdeped%5Fgov%5Fph%2FDocuments%2FSDO%20Roxas%2FDRRM%2FEarthquake%20Drill%202025%2F2nd%20Quarter%20%2D%20NSED%2FVAES%202nd%20Quarter%20SNED&ga=1
33,117652,Barra Elementary School,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,2,13,15,2,12,14,148,144,292,0,0,0,0,0,0,0,0,0,292,130,135,265,0,0,0,0,0,0,0,0,0,265,None,Yes ,None,None,https://depedph-my.sharepoint.com/personal/larylynne_batuigas_deped_gov_ph/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Flarylynne%5Fbatuigas%5Fdeped%5Fgov%5Fph%2FDocuments%2FSDO%20Roxas%2FDRRM%2FEarthquake%20Drill%202025%2F2nd%20Quarter%20%2D%20NSED%2F117652%20BARRA%20ES&ga=1
34,117659,Libas Elementary School,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,2,20,22,2,20,22,182,218,400,0,0,0,0,0,0,,,0,400,182,218,400,0,0,0,0,0,0,0,0,0,400,None,Yes,None,Hot Weather,https://depedph-my.sharepoint.com/personal/larylynne_batuigas_deped_gov_ph/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Flarylynne%5Fbatuigas%5Fdeped%5Fgov%5Fph%2FDocuments%2FSDO%20Roxas%2FDRRM%2FEarthquake%20Drill%202025%2F2nd%20Quarter%20%2D%20NSED%2F117652%20BARRA%20ES&ga=1
35,117656,Don Ynocencio Del Rosario MS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,6,28,34,3,4,7,448,433,881,0,0,0,0,0,0,0,0,0,881,448,433,881,0,0,0,0,0,0,0,0,0,881,None,,none,Moderate Rain,https://drive.google.com/drive/folders/1NtGoFLzrzlccJ-9NSqTdfi5VYpKv5QhD?usp=sharing
36,117664,Rufina Andrada Santos MS,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,None,Yes,Yes,None,0,14,14,1,3,4,127,135,262,0,0,0,0,0,0,0,0,0,262,121,140,261,0,0,0,0,0,0,0,0,0,262,None,,None,Drizzle started during the activity,
37,117684,Katipunan Village Elementary School,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,4,14,18,4,14,18,140,143,283,0,0,0,0,0,0,0,0,0,283,140,143,283,0,0,0,0,0,0,0,0,0,283,None,Yes,None,None,https://depedph-my.sharepoint.com/personal/larylynne_batuigas_deped_gov_ph/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Flarylynne%5Fbatuigas%5Fdeped%5Fgov%5Fph%2FDocuments%2FSDO%20Roxas%2FDRRM%2FEarthquake%20Drill%202025%2F2nd%20Quarter%20%2D%20NSED%2FKATIPUNAN%20VILLAGE%20ES%20%2D%202025%202ND%20QUARTER%20EARTHQUAKE%20DRILL&ga=1
38,501339,Don Canuto Fuentes Integrated School,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,None,Yes,vc,None,2,23,25,2,23,25,222,176,398,0,0,0,0,0,0,0,0,0,398,222,176,398,0,0,0,0,0,0,0,0,0,398,None,Yes,None,None,https://depedph-my.sharepoint.com/:f:/g/personal/jayvicca_cartujano_deped_gov_ph/EmRypEa_4ctOuWqm1aVgGIwBP0TsYGKAYTDiVy-RRSnF1A?e=I5gNZ4
39,501338,Don Amando Bayot Memorial IS,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,None,Yes,Yes,None ,1,5,6,4,22,26,347,280,627,0,0,0,0,0,0,0,0,0,627,347,280,627,0,0,0,0,0,0,0,0,0,627,none,Yes,None,Moderate Rain,https://depedph-my.sharepoint.com/:f:/g/personal/chari_cadiz_deped_gov_ph/EsXPpjCVmyFDpFmrtvc8a5ABAgH5iCdPzzgOWEjnpztQbw?e=M8mvKh
40,501073,Lawaan Integrated School,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,None,Yes,Yes,None,12,55,67,10,52,62,939,828,1767,0,0,0,0,0,0,0,0,0,1767,908,819,1727,0,0,0,0,0,0,0,0,0,1727,None,Yes,None,None,
41,500193,Marcos Fuentes Integrated School,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,None,Yes,Yes,None,9,38,47,9,38,47,613,538,1151,0,0,0,0,0,0,0,0,0,1151,613,538,1151,0,0,0,0,0,0,0,0,0,1151,None,Yes,None,Hot Weather,https://drive.google.com/drive/folders/1147IxB5kH8arp0g7n4ExJtANJ5x9V3SW?usp=drive_link
42,302758,Culasi National High School,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,8,21,29,8,21,29,301,302,603,0,0,0,0,0,0,2,0,2,605,293,301,594,0,0,0,0,0,0,2,0,2,596,None,Yes ,None,None,https://depedph-my.sharepoint.com/personal/larylynne_batuigas_deped_gov_ph/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Flarylynne%5Fbatuigas%5Fdeped%5Fgov%5Fph%2FDocuments%2FSDO%20Roxas%2FDRRM%2FEarthquake%20Drill%202025%2F2nd%20Quarter%20%2D%20NSED%2FCULASI%20NHS&ga=1
43,302759,Dumolog National High School,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NONE,YES,YES,NONE,16,24,40,10,23,33,238,215,453,0,0,0,0,0,0,0,0,0,453,220,198,418,0,0,0,0,0,0,0,0,0,453,NONE,YES,NONE,NONE,https://depedph-my.sharepoint.com/:x:/g/personal/larylynne_batuigas_deped_gov_ph/Eb5N0NBjJYVJpiqF7qwWwRIBIpaJXI2b-5hQzXHVUn3bQg?e=eV4e0Y
44,302761,Tanque National High School,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NONE,YES,YES,NONE,15,45,60,12,40,52,636,639,1275,0,0,0,0,0,0,0,0,0,1275,605,621,1226,,0,0,0,0,0,0,0,0,1226,NONE,YES,NONE,NONE,https://depedph-my.sharepoint.com/personal/larylynne_batuigas_deped_gov_ph/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Flarylynne%5Fbatuigas%5Fdeped%5Fgov%5Fph%2FDocuments%2FSDO%20Roxas%2FDRRM%2FEarthquake%20Drill%202025%2F2nd%20Quarter%20%2D%20NSED%2FTNHS%202nd%20NSED&ga=1
45,311704,Don Ynocencio Del Rosario NHS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,None,Yes,Yes,None,19,46,65,19,45,64,614,620,1234,0,0,0,0,0,0,0,0,0,1234,614,620,1234,0,0,0,0,0,0,0,0,0,1234,None,Yes,None,One grade 9 female student fainted due to the hot weather,
46,302756,Balijuagan National High School,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,None,Yes,Yes,None,3,23,26,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,411,213,198,411,0,0,0,0,0,0,0,0,0,411,none,yes,none,none,https://drive.google.com/drive/folders/1ZRvlvJTPExI9KcWkXtDDfHKXrl7JjRhb?usp=drive_link
47,302755,Bago National High School,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,4,10,14,3,8,11,86,62,148,0,0,0,0,0,0,0,0,0,148,86,62,148,0,0,0,0,0,0,0,0,0,148,None,Yes,None,None,
48,302757,Cong. Ramon A. Arnaldo High School,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes ,Yes ,No,No,Yes,None,Yes,Yes,None ,33,68,101,32,65,97,932,1002,1934,900,972,1872,0,0,0,0,0,0,1934,932,1002,1934,0,0,0,0,0,0,0,0,0,1872,none,yes,none,none,
49,302760,Milibili National High School,Yes,Yes ,Yes ,Yes,No,Yes ,Yes ,Yes ,No,Yes ,No,No,Yes ,None,Yes ,Yes ,None,7,26,33,7,26,33,233,187,420,0,0,0,0,0,0,0,0,0,420,182,166,348,0,0,0,0,0,0,0,0,0,348,none,,,,
50,311702,Roxas City Schools for Philippine Craftsmen,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by:,,,,,,,Noted by:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_______________________________________________________________,,,,,,,___________________________________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MARIBETH A. BALDONADO,,,,,,,"RENATO T. BALLESTEROS PhD, CESO V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date:,,,,,,,Date:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
